14,14
15,15
16,16
17,17
18,17
19,17
20,18
21,19
22,20
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,21
32,21
33,21
34,21
35,21
36,21
37,21
38,21
39,21
40,22
41,22
42,22
43,22
44,22
45,22
46,22
47,23
48,23
49,23
50,23
51,23
52,23
53,23
54,23
55,24
55,25
56,26
56,27
56,28
56,29
56,30
56,31
56,32
56,33
56,34
56,35
56,36
56,37
56,38
56,39
56,40
56,41
56,42
56,43
56,44
56,45
55,46
54,46
53,45
52,44
51,43
50,43
49,43
48,42
47,42
46,42
45,41
46,40
47,39
48,38
49,37
50,36
51,35
51,34
50,33
49,33
48,32
47,31
46,30
45,29
44,28
43,27
42,26
41,27
40,28
39,29
38,30
37,31
36,32
35,33
34,34
34,35
34,36
